source_id,source_id_edr3,in_SetA,in_SetB,n_cdips_sector,period,lspval,nequal,nclose,nfaint,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,subcluster,in_CG18,in_KC19,in_M21,(Bp-Rp)_0,is_phot_bin,is_astrm_bin,ruwe,Li_EW_mA_GaiaESO,Li_EW_mA_perr_GaiaESO,Li_EW_mA_merr_GaiaESO,Li_EW_mA_GALAH,Li_EW_mA_perr_GALAH,Li_EW_mA_merr_GALAH
5290824530952816896,5290824530952816896,1,1,3,1.2977,0.1716,0,1,1,120.1258205332,-60.5226679273,2015.5,1.98,0.031,-4.481,8.203,12.959,13.31,12.406,-0.23,1.95,halo,0,1,0,0.769,1,1,2.222,,,,,,
5290782062316848896,5290782062316848896,1,1,4,3.4661,0.4378,0,1,2,120.925454075,-60.6773251358,2015.5,2.534,0.018,-5.545,10.646,12.965,13.346,12.426,,,core,1,1,0,0.786,0,1,1.405,,,,,,
5295535629038594048,5295535629038594048,1,1,1,8.5821,0.0802,0,1,1,116.5841236094,-57.1727560316,2015.5,1.917,0.056,-4.055,9.164,16.821,17.815,15.813,,,halo,0,1,0,1.868,0,0,0.976,,,,,,
5291035426727395328,5291035426727395328,1,1,5,3.2011,0.3108,0,1,1,119.7514406156,-60.1558263601,2015.5,2.457,0.023,-5.112,12.061,12.147,12.526,11.613,28.84,2.77,core,1,1,0,0.778,1,0,0.989,,,,,,
5290666991552265088,5290666991552265088,1,1,7,7.7332,0.5054,0,1,1,119.4942559468,-61.0608188743,2015.5,2.463,0.018,-5.367,10.96,14.593,15.189,13.867,,,core,1,1,1,1.188,0,0,0.955,144.3,6.3,5.0,,,
5290738047490662016,5290738047490662016,1,1,6,5.4643,0.3381,0,1,2,119.2937048498,-60.6599814833,2015.5,2.472,0.025,-4.741,14.289,13.515,13.998,12.883,22.9,16.53,halo,0,1,0,0.981,1,1,5.174,127.4,5.0,5.0,,,
5489741508858868864,5489741508858868864,1,1,1,3.2532,0.0853,0,1,1,116.4971676822,-52.2307433799,2015.5,1.696,0.015,-3.296,8.192,13.822,14.248,13.229,,,halo,0,1,0,0.885,1,0,1.015,,,,,,
5275883954635819008,5275883954635819008,1,1,9,2.8809,0.1765,0,1,1,119.7871643637,-64.23808265,2015.5,2.253,0.018,-4.655,10.605,12.995,13.374,12.454,,,halo,0,1,0,0.786,0,1,1.328,,,,,,
5275907628495547392,5275907628495547392,1,1,9,8.1138,0.1167,0,1,1,119.3870775212,-64.2673932875,2015.5,2.465,0.02,-4.771,12.143,14.521,15.103,13.812,,,halo,0,1,1,1.157,0,0,1.018,,,,,,
5289652073595870080,5289652073595870080,1,1,6,1.0926,0.1617,0,1,1,122.0162685233,-62.0563743661,2015.5,2.404,0.033,-4.273,12.122,10.923,11.206,10.498,,,halo,0,1,0,0.574,1,0,0.895,,,,,,
5290641943303303168,5290641943304655744,1,1,6,5.1793,0.4136,0,1,1,119.4891782125,-61.3836508849,2015.5,2.408,0.013,-5.092,11.67,13.852,14.349,13.211,,,core,1,1,1,1.003,0,0,0.985,,,,,,
5290664861248309760,5290664861248309760,1,1,7,3.3734,0.197,0,1,1,119.2566486413,-61.0522914991,2015.5,2.44,0.018,-4.469,11.095,12.962,13.356,12.413,,,core,1,1,1,0.808,0,0,1.043,113.0,5.0,5.0,,,
5493070280312561152,5493070280312561152,1,1,2,0.4226,0.3755,0,1,2,114.8605532831,-51.2063373134,2015.5,1.934,0.062,-3.318,8.742,16.815,17.977,15.753,,,halo,0,1,0,2.09,1,0,1.059,,,,,,
5292549969634464384,5292549969634464384,1,1,8,4.8378,0.3516,0,1,1,116.5574409056,-60.10323895,2015.5,2.266,0.015,-3.999,10.564,13.606,14.048,13.006,,,halo,0,1,1,0.908,0,0,1.025,,,,,,
5289401311928879872,5289401311928879872,1,1,7,5.7158,0.2014,0,1,1,117.3706403021,-61.0035196219,2015.5,2.379,0.02,-3.842,11.159,13.658,14.106,13.059,,,halo,0,1,1,0.913,0,0,0.943,,,,,,
5275650274054997248,5275650274054997248,1,1,9,5.1985,0.4445,0,1,1,119.9806166722,-64.5859154531,2015.5,2.521,0.015,-4.816,12.159,13.354,13.785,12.774,,,halo,0,1,1,0.877,0,0,0.988,,,,,,
5290767218909364224,5290767218909364224,1,1,3,6.6459,0.0934,0,1,1,119.7977065619,-60.8181902404,2015.5,2.394,0.024,-4.416,11.707,14.353,14.898,13.664,,,core,1,1,1,1.1,0,0,0.953,100.1,6.2,5.0,,,
5290660703720134912,5290660703720134912,1,1,7,8.2014,0.2045,0,1,1,119.3182416794,-61.1294715558,2015.5,2.396,0.035,-4.711,11.135,15.985,16.87,15.056,,,core,1,1,1,1.68,0,0,1.083,42.8,10.9,8.2,,,
5264527202109956864,5264527202109956864,1,1,10,6.2444,0.3649,0,1,1,112.1201322493,-70.6862493347,2015.5,3.688,0.025,-2.513,17.946,12.865,13.315,12.273,18.81,2.47,halo,0,1,1,0.908,0,0,1.183,,,,,,
